"¿Cuál es la finalidad de las consultas preliminares del mercado previstas en el artículo 115 de la LCSP?","Preparar correctamente la licitación e informar a los operadores económicos acerca de los planes y requisitos para concurrir al procedimiento","Seleccionar previamente al futuro adjudicatario del contrato","Determinar de forma vinculante el precio que deberán ofertar los licitadores","Sustituir el procedimiento de licitación cuando existan suficientes operadores consultados","1","El artículo 115.1 permite realizar estudios de mercado y consultas a operadores económicos para preparar correctamente la licitación e informarles de los planes y requisitos para concurrir. No constituyen una fase de selección del adjudicatario."
"¿A quiénes puede recurrir el órgano de contratación para recibir asesoramiento durante una consulta preliminar del mercado?","A expertos o autoridades independientes, colegios profesionales o excepcionalmente operadores económicos activos en el mercado","Exclusivamente a los futuros licitadores","Únicamente a funcionarios de la Administración contratante","Exclusivamente a empresas que hayan contratado anteriormente con la Administración","1","El artículo 115.1 permite recurrir a expertos o autoridades independientes, colegios profesionales e incluso, excepcionalmente, operadores económicos activos en el mercado."
"Antes de iniciar una consulta preliminar del mercado, ¿qué debe publicar el órgano de contratación en el perfil de contratante?","El objeto de la consulta, cuándo se iniciará y las denominaciones de los terceros que participarán en ella","Las ofertas económicas que se esperan recibir y el nombre del futuro adjudicatario","El pliego definitivo y la resolución de adjudicación","Únicamente la identidad de los operadores económicos consultados","1","El artículo 115.1 exige publicar previamente el objeto de la consulta, su fecha de inicio y las denominaciones de los terceros participantes, así como las razones que motiven la elección de asesores externos."
"¿Qué límite establece la LCSP respecto del resultado de las consultas preliminares del mercado?","No puede dar lugar a un objeto contractual tan concreto que únicamente se ajuste a las características técnicas de uno de los consultados","Debe conducir necesariamente a una única solución técnica","Debe limitarse a las características ofrecidas por el operador con mayor cuota de mercado","Puede favorecer al operador consultado si la solución propuesta resulta económicamente ventajosa","1","El artículo 115.2 prohíbe que las consultas produzcan un objeto contractual tan concreto y delimitado que únicamente se ajuste a las características técnicas de uno de los consultados."
"¿Qué efecto puede tener la participación de una empresa en una consulta preliminar respecto de la posterior licitación?","La participación en la consulta no impide su posterior intervención en el procedimiento de contratación","La participación impide siempre presentar una oferta posterior","La empresa participante queda automáticamente invitada a la licitación","La empresa participante obtiene preferencia en la adjudicación","1","El artículo 115.3 establece expresamente que la participación en la consulta no impide la posterior intervención en el procedimiento de contratación."
"¿Qué documento debe elaborar el órgano de contratación cuando haya realizado consultas preliminares del mercado?","Un informe motivado que forme parte del expediente de contratación","Un acta de adjudicación provisional","Un informe de valoración de ofertas","Una memoria económica que sustituya al expediente","1","El artículo 115.3 exige un informe en el que se relacionen los estudios, autores, entidades consultadas, cuestiones planteadas y respuestas. Debe estar motivado, formar parte del expediente y publicarse en el perfil de contratante."
"¿Puede el órgano de contratación revelar a los participantes las soluciones propuestas por otros participantes durante una consulta preliminar?","No, las soluciones propuestas por los demás participantes solo pueden ser conocidas íntegramente por el órgano de contratación","Sí, siempre que todos hayan sido consultados","Sí, cuando las soluciones tengan carácter técnico","Sí, pero únicamente después de finalizar la consulta","1","El artículo 115.3 prohíbe revelar a los participantes las soluciones propuestas por los otros participantes durante las consultas."
"⭐⭐⭐ ¿Qué ocurre si el órgano de contratación no tiene en cuenta los resultados de las consultas preliminares al elaborar los pliegos?","Debe dejar constancia de los motivos en el informe correspondiente","Debe repetir obligatoriamente la consulta","Debe solicitar autorización al Consejo de Estado","Debe adjudicar el contrato al operador que haya aportado la solución descartada","1","El artículo 115 establece que, con carácter general, deben tenerse en cuenta los resultados de las consultas; si no se hace, deben dejarse constancia de los motivos en el informe."
"👑 ¿Qué efecto produce la participación de un operador económico en una consulta preliminar del mercado respecto de su posible participación posterior en el procedimiento de contratación?","La participación en la consulta no impide su posterior intervención en el procedimiento de contratación que, en su caso, se tramite.","La participación en la consulta impide participar posteriormente en la licitación para garantizar la igualdad entre los operadores.","La participación permite participar posteriormente solo si la información aportada no se utiliza para elaborar los pliegos.","La participación obliga al órgano de contratación a adjudicar el contrato mediante procedimiento negociado con dicho operador.","1","El artículo 115.3 establece expresamente que la participación en la consulta no impide la posterior intervención en el procedimiento de contratación que, en su caso, se tramite."
"👑 Conforme al artículo 115.2 de la Ley 9/2017, ¿qué debe hacer el órgano de contratación si, al elaborar los pliegos, decide no tener en cuenta los resultados de las consultas preliminares del mercado que haya realizado?","Debe dejar constancia de los motivos de esa decisión en el informe relativo a las actuaciones realizadas durante las consultas.","Debe repetir las consultas hasta que los resultados obtenidos puedan incorporarse a los pliegos.","Debe justificar la decisión mediante informe del Consejo de Estado antes de aprobar los pliegos.","Debe excluir del procedimiento de contratación a los operadores económicos que hubieran participado en las consultas.","1","El artículo 115.2 establece que, con carácter general, el órgano de contratación deberá tener en cuenta los resultados de las consultas realizadas al elaborar los pliegos. Si no lo hace, deberá dejar constancia de los motivos en el informe previsto en el apartado 3."
